tag	name	label
1.1.1.3.1	A01AD11	DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES)
1.1.1.3.1.1	3400932454006	ARTISIAL SOL 1/100 ML
1.1.1.3.1.2	3400935279897	DYNEXAN 2% PATE GINGIVALE TUBE 10G 1/10 G
1.2	A02	MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE
1.2.1	A02A	ANTIACIDES
1.2.1.1	A02AB	ANTIACIDES A BASE D'ALUMINIUM
1.2.1.1.1	A02AB01	ALUMINIUM HYDROXYDE
1.2.1.1.1.1	3400932167234	ROCGEL 1,2G/10ML SUSP BUV SACHET 24/11,6 G
1.2.1.1.2	A02AB03	ALUMINIUM PHOSPHATE
1.2.1.1.2.1	3400932197569	PHOSPHALUGEL 12,38G SUSP BUV SACHET 26
1.2.1.1.2.2	3400932462629	PHOSPHALUGEL 12,38G/15ML SUSP BUV FL 1/250 G
1.2.1.2	A02AD	ASSOCIATIONS ET COMPLEXES A BASE D'ALUMINIUM, DE CALCIUM ET DE MAGNESIUM
1.2.1.2.1	A02AD01	ASSOCIATIONS DE SELS
1.2.1.2.1.1	3400930428559	GASTROPULGITE PDR ORALE SACHET-DOSE 30
1.2.1.2.1.2	3400933111434	MOXYDAR CPR PR SUSP BUV 30
1.2.1.2.1.3	3400934136139	XOLAAM CPR 40
1.2.1.2.1.4	3400934218194	XOLAAM SUSP BUV FL 1/250 ML
1.2.1.2.1.5	3400934904189	MOXYDAR SUSP BUV SACHET-DOSE 30/20 ML
1.2.1.3	A02AX	ANTIACIDES : AUTRES ASSOCIATIONS
1.2.1.3.1	A02AX	ANTIACIDES : AUTRES ASSOCIATIONS
1.2.1.3.1.1	3400932194728	TOPAAL CPR 42
1.2.1.3.1.2	3400932440276	GELOX SUSP BUV SACHET 30/15,8 G
1.2.1.3.1.3	3400933419486	TOPAAL SUSP BUV 1/210 ML
1.2.1.3.1.4	3400934903700	CARBOSYMAG GELULE 24
1.2.1.3.1.5	3400934903878	CARBOSYMAG GELULE 48
1.2.2	A02B	MEDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
1.2.2.1	A02BA	ANTAGONISTES DES RECEPTEURS H2
1.2.2.1.1	A02BA01	CIMETIDINE
1.2.2.1.1.1	3400933970673	CIMETIDINE MYLAN 200MG CPR 30
1.2.2.1.1.2	3400933971335	CIMETIDINE MYLAN 400MG CPR 30
1.2.2.1.1.3	3400934164743	CIMETIDINE MYLAN 800MG CPR 15
1.2.2.1.1.4	3400934858604	CIMETIDINE MYLAN 200MG CPR EFF 60
1.2.2.1.1.5	3400934882555	CIMETIDINE ARROW 200MG CPR EFF 60
1.2.2.1.1.6	3400935941701	CIMETIDINE TEVA 200MG CPR 30
1.2.2.1.1.7	3400936180024	CIMETIDINE TEVA 800 MG CPR 15
1.2.2.1.1.8	3400936192430	CIMETIDINE TEVA 200 MG CPR 60
1.2.2.1.2	A02BA02	RANITIDINE
1.2.2.1.2.1	3400932514359	AZANTAC 150MG CPR 30
1.2.2.1.2.2	3400932682751	AZANTAC 50MG/2ML SOL INJ 5/2 ML
1.2.2.1.2.3	3400932877522	AZANTAC 300MG CPR 14
1.2.2.1.2.4	3400933208578	AZANTAC 150MG CPR EFF 30
1.2.2.1.2.5	3400933208639	RANITIDINE BIOGARAN 150MG CPR EFF 30
1.2.2.1.2.6	3400933208868	RANITIDINE RPG 150MG CPR EFF 30
1.2.2.1.2.7	3400933228798	RANIPLEX 150MG CPR EFF 30
1.2.2.1.2.8	3400934249013	RANITIDINE BIOGARAN 300MG CPR EFF 14
1.2.2.1.2.9	3400934249822	AZANTAC 300MG CPR EFF 14
1.2.2.1.2.10	3400934369568	RANIPLEX 300MG CPR EFF 14
1.2.2.1.2.11	3400934392979	RANITIDINE EG 150MG CPR 30
1.2.2.1.2.12	3400934660061	RANITIDINE MYLAN 150 MG CPR 30
1.2.2.1.2.13	3400934747960	RANITIDINE MYLAN 300 MG CPR 14
1.2.2.1.2.14	3400934969935	RANITIDINE BIOGARAN 150MG CPR 30
1.2.2.1.2.15	3400934985843	RANITIDINE BIOGARAN 300MG CPR 14
1.2.2.1.2.16	3400935200075	RANITIDINE EG 300MG CPR 14
1.2.2.1.2.17	3400935409324	RANITIDINE MYLAN 75MG CPR EFF 28
1.2.2.1.2.18	3400936028630	RANITIDINE TEVA 75MG CPR EFF 14
1.2.2.1.2.19	3400936028869	RANITIDINE TEVA 75MG CPR EFF 28
1.2.2.1.2.20	3400936028920	RANITIDINE TEVA 150MG CPR EFF 30
1.2.2.1.2.21	3400936029002	RANITIDINE TEVA 300MG CPR EFF 14
1.2.2.1.2.22	3400936029460	RANITIDINE RATIOPHARM 300 MG CPR 14
1.2.2.1.2.23	3400936030299	RANITIDINE MYLAN 300MG CPR EFF 14
1.2.2.1.2.24	3400936090323	RANITIDINE MYLAN 150MG CPR EFF 30
1.2.2.1.2.25	3400936115958	RANITIDINE TEVA 150MG CPR 30
1.2.2.1.2.26	3400936116030	RANITIDINE TEVA 300MG CPR 14
1.2.2.1.2.27	3400936214125	RANITIDINE ZENTIVA 150 MG CPR 30
1.2.2.1.2.28	3400936214354	RANITIDINE ZENTIVA 300 MG CPR 14
1.2.2.1.2.29	3400936234635	RANITIDINE ARROW 150MG CPR EFF 30
1.2.2.1.2.30	3400936234925	RANITIDINE ARROW 150 MG CPR 30
1.2.2.1.2.31	3400936413146	RANITIDINE ARROW 75MG CPR EFF 28
1.2.2.1.2.32	3400936796997	RANITIDINE SANDOZ 150 MG CPR 30
1.2.2.1.2.33	3400936807747	RANITIDINE SANDOZ 300MG CPR 14
1.2.2.1.2.34	3400936932685	RANITIDINE ARROW 300MG CPR EFF 14
1.2.2.1.2.35	3400937667258	RANITIDINE SANDOZ 150 MG CPR 30
1.2.2.1.2.36	3400937667319	RANITIDINE SANDOZ 300 MG CPR 14
1.2.2.1.2.37	3400939135403	RANITIDINE EG 150 MG CPR 30
1.2.2.1.2.38	3400939136523	RANITIDINE EG 300 MG CPR 14
1.2.2.1.3	A02BA03	FAMOTIDINE
1.2.2.1.3.1	3400935510259	FAMOTIDINE EG 20 MG CPR 30
1.2.2.1.3.2	3400935978660	FAMOTIDINE EG 40 MG CPR 15
1.2.2.1.3.3	3400936270305	FAMOTIDINE MYLAN 20MG CPR 30
1.2.2.1.3.4	3400936270534	FAMOTIDINE MYLAN 40MG CPR 15
1.2.2.1.4	A02BA04	NIZATIDINE
1.2.2.1.4.1	3400933092641	NIZAXID 150MG GELULE 30
1.2.2.2	A02BB	PROSTAGLANDINES
1.2.2.2.1	A02BB01	MISOPROSTOL
1.2.2.2.1.1	3400932878642	CYTOTEC 200 MCG CPR SEC 60
1.2.2.3	A02BC	INHIBITEURS DE LA POMPE A PROTONS
1.2.2.3.1	A02BC01	OMEPRAZOLE
1.2.2.3.1.1	3400922392486	OMEPRAZOLE MYLAN 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.2	3400922393087	OMEPRAZOLE MYLAN 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.3	3400922393438	OMEPRAZOLE MYLAN 20 MG CPR GASTRORESISTANT 28
1.2.2.3.1.4	3400926951306	OMEPRAZOLE RANBAXY 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.5	3400926951535	OMEPRAZOLE RANBAXY 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.6	3400926953775	OMEPRAZOLE RANBAXY 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.7	3400926954086	OMEPRAZOLE RANBAXY 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.8	3400926954376	OMEPRAZOLE RANBAXY 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.9	3400927567650	OMEPRAZOLE ZENTIVA LAB 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.10	3400927567711	OMEPRAZOLE ZENTIVA LAB 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.11	3400927568022	OMEPRAZOLE ZENTIVA LAB 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.12	3400927568190	OMEPRAZOLE ZENTIVA LAB 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.13	3400927568251	OMEPRAZOLE ZENTIVA LAB 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.14	3400927607264	OMEPRAZOLE ZYDUS FRANCE 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.15	3400927607325	OMEPRAZOLE ZYDUS FRANCE 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.16	3400927607493	OMEPRAZOLE ZYDUS FRANCE 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.17	3400927607554	OMEPRAZOLE ZYDUS FRANCE 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.18	3400927607615	OMEPRAZOLE ZYDUS FRANCE 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.19	3400927817861	OMEPRAZOLE ZENTIVA LAB 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.20	3400927817922	OMEPRAZOLE ZENTIVA LAB 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.21	3400927818004	OMEPRAZOLE ZENTIVA LAB 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.22	3400927818172	OMEPRAZOLE ZENTIVA LAB 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.23	3400927846847	OMEPRAZOLE ZENTIVA LAB 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.24	3400934052460	MOPRAL 10 MG GELULE GASTRORESISTANTE 30
1.2.2.3.1.25	3400934081095	MOPRAL 20MG GELULE 7
1.2.2.3.1.26	3400934081217	MOPRAL 20MG GELULE 14
1.2.2.3.1.27	3400934081446	MOPRAL 20MG GELULE 28
1.2.2.3.1.28	3400934097126	ZOLTUM 20MG GELULE 28
1.2.2.3.1.29	3400934098017	ZOLTUM 10MG GELULE 28
1.2.2.3.1.30	3400934130045	MOPRAL 10MG GELULE 14
1.2.2.3.1.31	3400934130106	MOPRAL 10MG GELULE 28
1.2.2.3.1.32	3400936280939	OMEPRAZOLE DISTRIQUIMICA 20MG GELULE 7
1.2.2.3.1.33	3400936281189	OMEPRAZOLE DISTRIQUIMICA 20MG GELULE 14
1.2.2.3.1.34	3400936281240	OMEPRAZOLE DISTRIQUIMICA 20MG GELULE 28
1.2.2.3.1.35	3400936282421	OMEPRAZOLE MYLAN PHARMA 20 MG GELULE 7
1.2.2.3.1.36	3400936282889	OMEPRAZOLE MYLAN PHARMA 20 MG GELULE 14
1.2.2.3.1.37	3400936282940	OMEPRAZOLE MYLAN PHARMA 20 MG GELULE 28
1.2.2.3.1.38	3400936284432	OMEPRAZOLE BIOGARAN 20MG GELULE 7
1.2.2.3.1.39	3400936284661	OMEPRAZOLE BIOGARAN 20MG GELULE 14
1.2.2.3.1.40	3400936286214	OMEPRAZOLE BIOGARAN 20MG GELULE 28
1.2.2.3.1.41	3400936287792	OMEPRAZOLE RATIO 20MG GELULE 7
1.2.2.3.1.42	3400936287853	OMEPRAZOLE RATIO 20MG GELULE 14
1.2.2.3.1.43	3400936287914	OMEPRAZOLE RATIO 20MG GELULE 28
1.2.2.3.1.44	3400936288683	OMEPRAZOLE RPG 20MG GELULE 14
1.2.2.3.1.45	3400936288744	OMEPRAZOLE RPG 20MG GELULE 28
1.2.2.3.1.46	3400936290006	OMEPRAZOLE ARROW GENERIQUES 20MG GELULE 7
1.2.2.3.1.47	3400936290174	OMEPRAZOLE ARROW GENERIQUES 20MG GELULE 14
1.2.2.3.1.48	3400936290235	OMEPRAZOLE ARROW GENERIQUES 20MG GELULE 28
1.2.2.3.1.49	3400936290464	OMEPRAZOLE TEVA 20MG GELULE 7
1.2.2.3.1.50	3400936290525	OMEPRAZOLE TEVA 20MG GELULE 14
1.2.2.3.1.51	3400936290693	OMEPRAZOLE TEVA 20MG GELULE 28
1.2.2.3.1.52	3400936291584	OMEPRAZOLE ACTAVIS 20MG GELULE 7
1.2.2.3.1.53	3400936291706	OMEPRAZOLE ACTAVIS 20MG GELULE 28
1.2.2.3.1.54	3400936325395	OMEPRAZOLE QUALIMED 20MG GELULE 28
1.2.2.3.1.55	3400936388550	OMEPRAZOLE QUIVER 20 MG GELULE 14
1.2.2.3.1.56	3400936388611	OMEPRAZOLE QUIVER 20 MG GELULE 28
1.2.2.3.1.57	3400936480612	OMEPRAZOLE EG LABO 20 MG GELULE 28
1.2.2.3.1.58	3400936483514	OMEPRAZOLE BOUCHARA RECORDATI 20MG GELULE 7
1.2.2.3.1.59	3400936483682	OMEPRAZOLE BOUCHARA RECORDATI 20MG GELULE 14
1.2.2.3.1.60	3400936483743	OMEPRAZOLE BOUCHARA RECORDATI 20MG GELULE 28
1.2.2.3.1.61	3400936484115	OMEPRAZOLE ZYDUS 20MG GELULE 7
1.2.2.3.1.62	3400936484283	OMEPRAZOLE ZYDUS 20MG GELULE 14
1.2.2.3.1.63	3400936484344	OMEPRAZOLE ZYDUS 20MG GELULE 28
1.2.2.3.1.64	3400936668058	OMEPRAZOLE EG 10MG GELULE 28
1.2.2.3.1.65	3400936668119	OMEPRAZOLE BIOGARAN 10MG GELULE 14
1.2.2.3.1.66	3400936668287	OMEPRAZOLE BIOGARAN 10MG GELULE 28
1.2.2.3.1.67	3400936668577	OMEPRAZOLE ARROW GENERIQUES 10MG GELULE 14
1.2.2.3.1.68	3400936668638	OMEPRAZOLE ARROW GENERIQUES 10MG GELULE 28
1.2.2.3.1.69	3400936672710	OMEPRAZOLE ACTAVIS 10MG GELULE 28
1.2.2.3.1.70	3400936673779	OMEPRAZOLE RATIOPHARM 10MG GELULE 28
1.2.2.3.1.71	3400936674080	OMEPRAZOLE ZYDUS 10 MG GELULE 28
1.2.2.3.1.72	3400936674370	OMEPRAZOLE BOUCHARA RECORDATI 10 MG GELULE 14
1.2.2.3.1.73	3400936674431	OMEPRAZOLE BOUCHARA RECORDATI 10 MG GELULE 28
1.2.2.3.1.74	3400936676961	OMEPRAZOLE RPG 10MG GELULE 28
1.2.2.3.1.75	3400936747272	OMEPRAZOLE ZENTIVA 20 MG GELULE 7
1.2.2.3.1.76	3400936747333	OMEPRAZOLE ZENTIVA 20 MG GELULE 14
1.2.2.3.1.77	3400936747562	OMEPRAZOLE ZENTIVA 20 MG GELULE 28
1.2.2.3.1.78	3400936803954	OMEPRAZOLE TEVA 10MG GELULE 14
1.2.2.3.1.79	3400936804036	OMEPRAZOLE TEVA 10MG GELULE 28
1.2.2.3.1.80	3400936804784	OMEPRAZOLE CRISTERS 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.81	3400936804845	OMEPRAZOLE CRISTERS 20 MG GELULE 28
1.2.2.3.1.82	3400936805217	OMEPRAZOLE ALTER 20 MG GELULE 7
1.2.2.3.1.83	3400936805385	OMEPRAZOLE ALTER 20 MG GELULE 14
1.2.2.3.1.84	3400936805446	OMEPRAZOLE ALTER 20 MG GELULE 28
1.2.2.3.1.85	3400936805736	OMEPRAZOLE ZENTIVA 10MG GELULE 14
1.2.2.3.1.86	3400936805965	OMEPRAZOLE ZENTIVA 10MG GELULE 28
1.2.2.3.1.87	3400936806627	OMEPRAZOLE EG 10MG GELULE 14
1.2.2.3.1.88	3400936862685	OMEPRAZOLE MYLAN PHARMA 10 MG GELULE 14
1.2.2.3.1.89	3400936862746	OMEPRAZOLE MYLAN PHARMA 10 MG GELULE 28
1.2.2.3.1.90	3400936883796	OMEPRAZOLE ALTER 10 MG GELULE 14
1.2.2.3.1.91	3400936883857	OMEPRAZOLE ALTER 10 MG GELULE 28
1.2.2.3.1.92	3400936884397	OMEPRAZOLE CRISTERS 10MG GELULE 28
1.2.2.3.1.93	3400936887411	OMEPRAZOLE ISOMED 20 MG GELULE 28
1.2.2.3.1.94	3400938407525	OMEPRAZOLE EVOLUGEN 10MG GELULE 14
1.2.2.3.1.95	3400938408416	OMEPRAZOLE EVOLUGEN 10MG GELULE 28
1.2.2.3.1.96	3400939540948	OMEPRAZOLE SANDOZ 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.97	3400939541198	OMEPRAZOLE SANDOZ 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.98	3400939541488	OMEPRAZOLE SANDOZ 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.99	3400939541549	OMEPRAZOLE SANDOZ 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.100	3400939541778	OMEPRAZOLE SANDOZ 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.101	3400939656724	OMEPRAZOLE NEPENTHES 20 MG CAPSULE 7
1.2.2.3.1.102	3400939656892	OMEPRAZOLE NEPENTHES 20 MG CAPSULE 14
1.2.2.3.1.103	3400939656953	OMEPRAZOLE NEPENTHES 20 MG CAPSULE 28
1.2.2.3.1.104	3400939815763	OMEPRAZOLE EVOLUGEN 20MG GELULE 7
1.2.2.3.1.105	3400939815824	OMEPRAZOLE EVOLUGEN 20MG GELULE 14
1.2.2.3.1.106	3400939816074	OMEPRAZOLE EVOLUGEN 20MG GELULE 28
1.2.2.3.1.107	3400941859014	MOPRAL 20 MG GELULE GASTRORESISTANTE 30
1.2.2.3.1.108	3400941859533	ZOLTUM 20 MG GELULE GASTRORESISTANTE 30
1.2.2.3.1.109	3400949753949	OMEPRAZOLE ABBOTT 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.110	3400949754021	OMEPRAZOLE ABBOTT 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.111	3400949755141	OMEPRAZOLE ABBOTT 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.112	3400949755202	OMEPRAZOLE ABBOTT 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.113	3400949755370	OMEPRAZOLE ABBOTT 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.114	3400949757152	OMEPRAZOLE ACTAVIS FRANCE 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.115	3400949757381	OMEPRAZOLE ACTAVIS FRANCE 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.116	3400949758333	OMEPRAZOLE ACTAVIS FRANCE 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.117	3400949758562	OMEPRAZOLE ACTAVIS FRANCE 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.118	3400949758791	OMEPRAZOLE ACTAVIS FRANCE 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.119	3400949759804	OMEPRAZOLE TEVA SANTE 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.120	3400949760053	OMEPRAZOLE TEVA SANTE 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.121	3400949761005	OMEPRAZOLE TEVA SANTE 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.122	3400949761173	OMEPRAZOLE TEVA SANTE 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.123	3400949761463	OMEPRAZOLE TEVA SANTE 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.124	3400949762415	OMEPRAZOLE ALMUS 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.125	3400949762644	OMEPRAZOLE ALMUS 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.126	3400949763535	OMEPRAZOLE ALMUS 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.127	3400949763764	OMEPRAZOLE ALMUS 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.128	3400949763993	OMEPRAZOLE ALMUS 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.129	3400949765027	OMEPRAZOLE EG LABO-LABORATOIRES EUROGENERICS 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.130	3400949765256	OMEPRAZOLE EG LABO-LABORATOIRES EUROGENERICS 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.131	3400949766208	OMEPRAZOLE EG 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.132	3400949766376	OMEPRAZOLE EG 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.133	3400949766666	OMEPRAZOLE EG 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.134	3400949767786	OMEPRAZOLE KRKA 10 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.135	3400949767908	OMEPRAZOLE KRKA 10 MG GELULE GASTRORESISTANTE 28
1.2.2.3.1.136	3400949768967	OMEPRAZOLE KRKA 20 MG GELULE GASTRORESISTANTE 7
1.2.2.3.1.137	3400949769049	OMEPRAZOLE KRKA 20 MG GELULE GASTRORESISTANTE 14
1.2.2.3.1.138	3400949769278	OMEPRAZOLE KRKA 20 MG GELULE GASTRORESISTANTE 28
1.2.2.3.2	A02BC02	PANTOPRAZOLE
1.2.2.3.2.1	3400922402406	PANTOPRAZOLE EVOLUGEN 20 MG CPR GASTRORESISTANT 28
1.2.2.3.2.2	3400922403526	PANTOPRAZOLE EVOLUGEN 40 MG CPR GASTRORESISTANT 14
1.2.2.3.2.3	3400922403816	PANTOPRAZOLE EVOLUGEN 40 MG CPR GASTRORESISTANT 28
1.2.2.3.2.4	3400926765750	PANTOPRAZOLE ZYDUS FRANCE 20 MG CPR GASTRORESISTANT 28
1.2.2.3.2.5	3400926766351	PANTOPRAZOLE ZYDUS FRANCE 40 MG CPR GASTRORESISTANT 7
1.2.2.3.2.6	3400926766580	PANTOPRAZOLE ZYDUS FRANCE 40 MG CPR GASTRORESISTANT 14
1.2.2.3.2.7	3400926766870	PANTOPRAZOLE ZYDUS FRANCE 40 MG CPR GASTRORESISTANT 28
1.2.2.3.2.8	3400934475818	INIPOMP 40MG CPR 7
1.2.2.3.2.9	3400934606182	INIPOMP 40MG PDR INJ 1
1.2.2.3.2.10	3400934606533	EUPANTOL 40MG PDR INJ 1
1.2.2.3.2.11	3400934705229	PANTOPRAZOLE ISOMED 20MG CPR GASTRORESISTANT 14
1.2.2.3.2.12	3400934706868	PANTOPRAZOLE ISOMED 40MG CPR GASTRORESISTANT 14
1.2.2.3.2.13	3400934707230	PANTOPRAZOLE ISOMED 40MG CPR GASTRORESISTANT 28
1.2.2.3.2.14	3400935583987	EUPANTOL 40MG CPR 14
1.2.2.3.2.15	3400935584069	EUPANTOL 40MG CPR 28
1.2.2.3.2.16	3400935584410	INIPOMP 20MG CPR 28
1.2.2.3.2.17	3400935584700	INIPOMP 40MG CPR 14
1.2.2.3.2.18	3400935584878	INIPOMP 40MG CPR 28
1.2.2.3.2.19	3400935585301	EUPANTOL 20MG CPR 28
1.2.2.3.2.20	3400935973467	EUPANTOL 20MG CPR 14
1.2.2.3.2.21	3400935974419	INIPOMP 20MG CPR 14
1.2.2.3.2.22	3400937530941	PANTOPRAZOLE RANBAXY 40 MG CPR GASTRORESISTANT 14
1.2.2.3.2.23	3400937531191	PANTOPRAZOLE RANBAXY 40 MG CPR GASTRORESISTANT 28
1.2.2.3.2.24	3400937974998	EUPANTOL 40 MG CPR 28
1.2.2.3.2.25	3400938268706	PANTOPRAZOLE ALTER 40MG CPR 28
1.2.2.3.2.26	3400938277340	PANTOPRAZOLE TEVA 20MG CPR 14
1.2.2.3.2.27	3400938277579	PANTOPRAZOLE TEVA 20MG CPR 28
1.2.2.3.2.28	3400938277869	PANTOPRAZOLE TEVA 40MG CPR 7
1.2.2.3.2.29	3400938277920	PANTOPRAZOLE TEVA 40MG CPR 14
1.2.2.3.2.30	3400938278170	PANTOPRAZOLE TEVA 40MG CPR 28
1.2.2.3.2.31	3400938703740	PANTOPRAZOLE ALTER 20MG CPR 14
1.2.2.3.2.32	3400938703979	PANTOPRAZOLE ALTER 20MG CPR 28
