EP_ID	NAME_FULL	COUNTRY	NATIONAL_PARTY	GROUPE_ID	GENDER	BIRTHDATE	GEOSIZE	POP16	POP16_PERCENTAGE	GDP_BILLIONS	LANGUAGES	POLITICAL_SYS	NB_SEATS_IN_EU	CURRENCY	SCHENGEN_MEMBER	SCHENGEN_MEMBER_SINCE	EU_MEMBER_SINCE
0042892	Angelika NIEBLER	Germany	Christlich-Soziale Union in Bayern e.V.	PPE	F	1963-02-18 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0043192	Pilar AYUSO	Spain	Partido Popular	PPE	F	1942-06-16 00:00:00	505944	46445828	9.1	1114	['21 Spanish']	parliamentary constitutional monarchy	54	Euro	Yes	1995	1986
0043342	Elena VALENCIANO	Spain	Partido Socialista Obrero Español	S&D	F	1960-09-18 00:00:00	505944	46445828	9.1	1114	['21 Spanish']	parliamentary constitutional monarchy	54	Euro	Yes	1995	1986
0043353	Marielle de SARNEZ	France	Mouvement Démocrate	ALDE	F	1951-03-27 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0043384	Thierry CORNILLET	France	Parti Radical	ALDE	M	1951-07-23 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0043454	Tokia SAÏFI	France	Union pour un Mouvement Populaire	PPE	F	1959-07-11 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0043455	Tokia SAÏFI	France	Les Républicains	PPE	F	1959-07-11 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0044322	Claude TURMES	Luxembourg	Déi Gréng - Les Verts	Verts/ALE	M	1960-11-26 00:00:00	2586	576249	0.1	54	['3 French', '2 German']	parliamentary constitutional monarchy	6	Euro	Yes	1995	1958
0044365	Gianni PITTELLA	Italy	Partito Democratico	S&D	M	1958-11-19 00:00:00	302073	60665551	11.9	1672	['13 Italian']	parliamentary republic	73	Euro	Yes	1997	1958
0044652	Raffaele FITTO	Italy	Forza Italia	ECR	M	1969-08-28 00:00:00	302073	60665551	11.9	1672	['13 Italian']	parliamentary republic	73	Euro	Yes	1997	1958
0044653	Raffaele FITTO	Italy	Forza Italia	PPE	M	1969-08-28 00:00:00	302073	60665551	11.9	1672	['13 Italian']	parliamentary republic	73	Euro	Yes	1997	1958
0044654	Raffaele FITTO	Italy	Conservatori e Riformisti	ECR	M	1969-08-28 00:00:00	302073	60665551	11.9	1672	['13 Italian']	parliamentary republic	73	Euro	Yes	1997	1958
0045076	Bas BELDER	Netherlands	Staatkundig Gereformeerde Partij	ECR	M	1946-10-25 00:00:00	41542	16979120	3.3	697	['4 Dutch']	parliamentary constitutional monarchy	26	Euro	Yes	1995	1958
0045132	Geoffrey VAN ORDEN	United Kingdom	Conservative Party	ECR	M	1945-04-10 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045167	Roger HELMER	United Kingdom	United Kingdom Independence Party	EFDD	M	1944-01-25 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045192	Claude MORAES	United Kingdom	Labour Party	S&D	M		248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045212	Charles TANNOCK	United Kingdom	Conservative Party	ECR	M	1957-09-25 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045254	Nigel FARAGE	United Kingdom	United Kingdom Independence Party	EFDD	M	1964-04-03 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045311	Jean LAMBERT	United Kingdom	Green Party	Verts/ALE	F	1950-06-01 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045332	Neena GILL	United Kingdom	Labour Party	S&D	F		248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045422	Timothy KIRKHOPE	United Kingdom	Conservative Party	ECR	M	1945-04-29 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045452	Catherine STIHLER	United Kingdom	Labour Party	S&D	F	1973-07-30 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045502	Jill EVANS	United Kingdom	Plaid Cymru - Party of Wales	Verts/ALE	F	1959-05-08 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045532	Jacqueline FOSTER	United Kingdom	Conservative Party	ECR	F		248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045554	Daniel HANNAN	United Kingdom	Conservative Party	ECR	M	1971-09-01 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0045562	Nirj DEVA	United Kingdom	Conservative Party	ECR	M	1948-05-11 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0047515	Bart STAES	Belgium	Groen	Verts/ALE	M	1958-08-07 00:00:00	30528	11311117	1.7	422	['4 Dutch', '3 French', '2 German']	federal parliamentary constitutional monarchy	21	Euro	Yes	1995	1958
0055654	Brice HORTEFEUX	France	Union pour un Mouvement Populaire	PPE	M	1958-05-11 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0055655	Brice HORTEFEUX	France	Les Républicains	PPE	M	1958-05-11 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0057292	Kathleen VAN BREMPT	Belgium	Socialistische Partij.Anders	S&D	F	1969-11-18 00:00:00	30528	11311117	1.7	422	['4 Dutch', '3 French', '2 German']	federal parliamentary constitutional monarchy	21	Euro	Yes	1995	1958
0058462	Mary HONEYBALL	United Kingdom	Labour Party	S&D	F	1952-11-12 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0213311	Sylvie GODDYN	France	Front national	ENF	F	1964-06-24 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0213312	Sylvie GODDYN	France	Front national	NI	F	1964-06-24 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
02181710	Mario BORGHEZIO	Italy	Lega Nord	NI	M	1947-12-03 00:00:00	302073	60665551	11.9	1672	['13 Italian']	parliamentary republic	73	Euro	Yes	1997	1958
0218179	Mario BORGHEZIO	Italy	Lega Nord	ENF	M	1947-12-03 00:00:00	302073	60665551	11.9	1672	['13 Italian']	parliamentary republic	73	Euro	Yes	1997	1958
0219182	Manuel dos SANTOS	Portugal	Partido Socialista	S&D	M	1943-12-05 00:00:00	92226	10341330	2	185	['17 Portuguese']	semi-presidential republic	21	Euro	Yes	1995	1986
0224182	Esther HERRANZ GARCÍA	Spain	Partido Popular	PPE	F	1969-07-03 00:00:00	505944	46445828	9.1	1114	['21 Spanish']	parliamentary constitutional monarchy	54	Euro	Yes	1995	1986
0236933	Alojz PETERLE	Slovenia	Nova Slovenija – Krščanski demokrati	PPE	M	1948-07-05 00:00:00	20273	2064188	0.4	40	['20 Slovenian']	parliamentary republic	8	Euro	Yes	2007	2004
0236991	Kateřina KONEČNÁ	Czech Republic	Komunistická strana Čech a Moravy	GUE/NGL	F	1981-01-20 00:00:00	78868	10553 843	2.1	174	['Czech']	parliamentary republic	21	CZK	Yes	2007	2004
0237041	Jiří MAŠTÁLKA	Czech Republic	Komunistická strana Čech a Moravy	GUE/NGL	M	1956-01-03 00:00:00	78868	10553 843	2.1	174	['Czech']	parliamentary republic	21	CZK	Yes	2007	2004
0237061	Miloslav RANSDORF	Czech Republic	Komunistická strana Čech a Moravy	GUE/NGL	M	1953-02-15 00:00:00	78868	10553 843	2.1	174	['Czech']	parliamentary republic	21	CZK	Yes	2007	2004
0237122	Jan ZAHRADIL	Czech Republic	Občanská demokratická strana	ECR	M	1963-03-20 00:00:00	78868	10553 843	2.1	174	['Czech']	parliamentary republic	21	CZK	Yes	2007	2004
0237683	Bogusław LIBERADZKI	Poland	Sojusz Lewicy Demokratycznej	S&D	M	1948-09-12 00:00:00	312679	37967209	7.4	424	['16 Polish']	parliamentary republic	51	PLN	Yes	2007	2004
0237812	Janusz LEWANDOWSKI	Poland	Platforma Obywatelska	PPE	M	1951-06-13 00:00:00	312679	37967209	7.4	424	['16 Polish']	parliamentary republic	51	PLN	Yes	2007	2004
0237844	Janusz WOJCIECHOWSKI	Poland	Prawo i Sprawiedliwość	ECR	M	1954-12-06 00:00:00	312679	37967209	7.4	424	['16 Polish']	parliamentary republic	51	PLN	Yes	2007	2004
0237852	Andrzej GRZYB	Poland	Polskie Stronnictwo Ludowe	PPE	M	1956-08-23 00:00:00	312679	37967209	7.4	424	['16 Polish']	parliamentary republic	51	PLN	Yes	2007	2004
0237872	Czesław Adam SIEKIERSKI	Poland	Polskie Stronnictwo Ludowe	PPE	M	1952-10-08 00:00:00	312679	37967209	7.4	424	['16 Polish']	parliamentary republic	51	PLN	Yes	2007	2004
0237911	Kazimierz Michał UJAZDOWSKI	Poland	Prawo i Sprawiedliwość	ECR	M	1964-07-28 00:00:00	312679	37967209	7.4	424	['16 Polish']	parliamentary republic	51	PLN	Yes	2007	2004
0237912	Kazimierz Michał UJAZDOWSKI	Poland	Independent	ECR	M	1964-07-28 00:00:00	312679	37967209	7.4	424	['16 Polish']	parliamentary republic	51	PLN	Yes	2007	2004
0238162	András GYÜRK	Hungary	Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt	PPE	M	1972-12-02 00:00:00	93011	9830485	1.9	112	['11 Hungarian']	parliamentary republic	21	HUF	Yes	2007	2004
0238212	József SZÁJER	Hungary	Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt	PPE	M	1961-09-07 00:00:00	93011	9830485	1.9	112	['11 Hungarian']	parliamentary republic	21	HUF	Yes	2007	2004
0238682	Monika BEŇOVÁ	Slovakia	SMER-Sociálna demokracia	S&D	F	1968-08-15 00:00:00	49035	5426252	1.1	81	['19 Slovak']	parliamentary republic	13	Euro	Yes	2007	2004
0238942	Anna ZÁBORSKÁ	Slovakia	Kresťanskodemokratické hnutie	PPE	F	1948-06-07 00:00:00	49035	5426252	1.1	81	['19 Slovak']	parliamentary republic	13	Euro	Yes	2007	2004
0245051	Emmanuel MAUREL	France	Parti socialiste	S&D	M	1973-05-10 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0245941	Anne SANDER	France	Union pour un Mouvement Populaire	PPE	F	1973-10-01 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0245942	Anne SANDER	France	Les Républicains	PPE	F	1973-10-01 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0249221	Pascal ARIMONT	Belgium	Christlich Soziale Partei	PPE	M	1974-09-25 00:00:00	30528	11311117	1.7	422	['4 Dutch', '3 French', '2 German']	federal parliamentary constitutional monarchy	21	Euro	Yes	1995	1958
0257041	Eleni THEOCHAROUS	Cyprus	Democratic Rally	PPE	F	1953-06-24 00:00:00	9251	848319	0.2	18	['7 Greek']	presidential republic	6	Euro	No	-	2004
0257042	Eleni THEOCHAROUS	Cyprus	Independent	ECR	F	1953-06-24 00:00:00	9251	848319	0.2	18	['7 Greek']	presidential republic	6	Euro	No	-	2004
0257043	Eleni THEOCHAROUS	Cyprus	Independent	PPE	F	1953-06-24 00:00:00	9251	848319	0.2	18	['7 Greek']	presidential republic	6	Euro	No	-	2004
0261461	Florent MARCELLESI	Spain	EQUO	Verts/ALE	M	1979-04-10 00:00:00	505944	46445828	9.1	1114	['21 Spanish']	parliamentary constitutional monarchy	54	Euro	Yes	1995	1986
0268372	Lefteris CHRISTOFOROU	Cyprus	Democratic Rally	PPE	M	1963-08-31 00:00:00	9251	848319	0.2	18	['7 Greek']	presidential republic	6	Euro	No	-	2004
0268513	Nikolaos CHOUNTIS	Greece	Popular Unity	GUE/NGL	M	1953-09-17 00:00:00	131957	10750000	2.1	176	['7 Greek']	parliamentary republic	21	Euro	Yes	2000	1981
0281152	Mairead McGUINNESS	Ireland	Fine Gael Party	PPE	F	1959-06-13 00:00:00	69797	4724720	0.9	266	[]	parliamentary republic	11	Euro	No	-	1973
0281162	Marian HARKIN	Ireland	Independent	ALDE	F	1953-11-26 00:00:00	69797	4724720	0.9	266	[]	parliamentary republic	11	Euro	No	-	1973
0281222	David CASA	Malta	Partit Nazzjonalista	PPE	M	1968-11-16 00:00:00	315	434403	0.1	10	['Maltese', '1 English']	parliamentary republic	6	Euro	Yes	2007	2004
0281243	Gunnar HÖKMARK	Sweden	Moderaterna	PPE	M	1952-09-19 00:00:00	438574	9851017	1.9	462	['22 Swedish']	parliamentary constitutional monarchy	20	SEK	Yes	2001	1995
0281263	Christofer FJELLNER	Sweden	Moderaterna	PPE	M	1976-12-13 00:00:00	438574	9851017	1.9	462	['22 Swedish']	parliamentary constitutional monarchy	20	SEK	Yes	2001	1995
0281312	Anna HEDH	Sweden	Arbetarepartiet- Socialdemokraterna	S&D	F	1967-03-18 00:00:00	438574	9851017	1.9	462	['22 Swedish']	parliamentary constitutional monarchy	20	SEK	Yes	2001	1995
0281322	Richard ASHWORTH	United Kingdom	Conservative Party	ECR	M	1947-09-17 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0281352	György SCHÖPFLIN	Hungary	Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt	PPE	M	1939-11-24 00:00:00	93011	9830485	1.9	112	['11 Hungarian']	parliamentary republic	21	HUF	Yes	2007	2004
0281412	Lívia JÁRÓKA	Hungary	Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt	PPE	F	1974-10-06 00:00:00	93011	9830485	1.9	112	['11 Hungarian']	parliamentary republic	21	HUF	Yes	2007	2004
0281502	Kinga GÁL	Hungary	Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt	PPE	F	1970-09-06 00:00:00	93011	9830485	1.9	112	['11 Hungarian']	parliamentary republic	21	HUF	Yes	2007	2004
0281542	Ole CHRISTENSEN	Denmark	Socialdemokratiet	S&D	M	1955-05-07 00:00:00	42924	5707251	1.1	277	['8 Danish']	parliamentary constitutional monarchy	13	DKK	Yes	2001	1973
0281611	Margrete AUKEN	Denmark	Socialistisk Folkeparti	Verts/ALE	F	1945-01-06 00:00:00	42924	5707251	1.1	277	['8 Danish']	parliamentary constitutional monarchy	13	DKK	Yes	2001	1973
0281652	Lambert van NISTELROOIJ	Netherlands	Christen Democratisch Appèl	PPE	M	1953-03-05 00:00:00	41542	16979120	3.3	697	['4 Dutch']	parliamentary constitutional monarchy	26	Euro	Yes	1995	1958
0281662	Vincent PEILLON	France	Parti socialiste	S&D	M	1960-07-07 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0281782	Miroslav MIKOLÁŠIK	Slovakia	Kresťanskodemokratické hnutie	PPE	M	1952-09-11 00:00:00	49035	5426252	1.1	81	['19 Slovak']	parliamentary republic	13	Euro	Yes	2007	2004
0281924	Vladimír MAŇKA	Slovakia	SMER-Sociálna demokracia	S&D	M	1959-09-19 00:00:00	49035	5426252	1.1	81	['19 Slovak']	parliamentary republic	13	Euro	Yes	2007	2004
0282065	Jean-Marie CAVADA	France	Nouveau Centre-UDI	ALDE	M	1940-02-24 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0282066	Jean-Marie CAVADA	France	Nous Citoyens	ALDE	M	1940-02-24 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0282067	Jean-Marie CAVADA	France	-	ALDE	M	1940-02-24 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0282068	Jean-Marie CAVADA	France	Génération Citoyens	ALDE	M	1940-02-24 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0282082	Nathalie GRIESBECK	France	Mouvement Démocrate	ALDE	F	1956-05-24 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0282104	Marine LE PEN	France	Front national	ENF	F	1968-08-05 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0282105	Marine LE PEN	France	Front national	NI	F	1968-08-05 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0282192	Daniel CASPARY	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1976-04-04 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
